Número de registro o fila,Nombre de campo,Dato publicado,Dato nuevo,Estatus del cambio,Fecha de modificación,
8,IVFP_C,0,163.3,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
214,IVFP_C,0,172.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
420,IVFP_C,0,215.6,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
626,IVFP_C,0,204,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
832,IVFP_C,0,153,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
1038,IVFP_C,0,36.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
1244,IVFP_C,0,0.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
1450,IVFP_C,0,0.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
1656,IVFP_C,0,0.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
1862,IVFP_C,0,2.8,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
2068,IVFP_C,0,13.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
2274,IVFP_C,0,80.8,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
2480,IVFP_C,0,210.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
2686,IVFP_C,0,206.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
2892,IVFP_C,0,230.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
3098,IVFP_C,0,212.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
3304,IVFP_C,0,145.8,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
3510,IVFP_C,0,20.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
3716,IVFP_C,0,0.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
4334,IVFP_C,0,0.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
4540,IVFP_C,0,14.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
4746,IVFP_C,0,118.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
4952,IVFP_C,0,190.3,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
5158,IVFP_C,0,208.6,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
5364,IVFP_C,0,227.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
5570,IVFP_C,0,179.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
5776,IVFP_C,0,63.6,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
5982,IVFP_C,0,7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
6188,IVFP_C,0,0.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
7012,IVFP_C,0,18.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
7218,IVFP_C,0,102,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
7424,IVFP_C,0,169.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
7630,IVFP_C,0,146.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
7836,IVFP_C,0,217.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
8042,IVFP_C,0,185.6,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
8248,IVFP_C,0,97.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
8454,IVFP_C,0,14.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
8660,IVFP_C,0,0.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
9278,IVFP_C,0,0.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
9484,IVFP_C,0,37.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
9690,IVFP_C,0,135.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
9896,IVFP_C,0,198.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
10102,IVFP_C,0,204,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
10308,IVFP_C,0,226.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
10514,IVFP_C,0,174.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
10720,IVFP_C,0,63,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
10926,IVFP_C,0,7.6,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
11132,IVFP_C,0,0.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
11956,IVFP_C,0,23.6,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
12162,IVFP_C,0,127.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
12368,IVFP_C,0,190.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
12574,IVFP_C,0,172.8,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
12780,IVFP_C,0,221.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
12986,IVFP_C,0,170.6,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
13192,IVFP_C,0,92.8,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
13398,IVFP_C,0,19.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
14222,IVFP_C,0,2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
14428,IVFP_C,0,61.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
14634,IVFP_C,0,179.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
14840,IVFP_C,0,211.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
15046,IVFP_C,0,220.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
15252,IVFP_C,0,243.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
15458,IVFP_C,0,226.3,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
15664,IVFP_C,0,184.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
15870,IVFP_C,0,54.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
16076,IVFP_C,0,3.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
16694,IVFP_C,0,0.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
16900,IVFP_C,0,22.8,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
17106,IVFP_C,0,140,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
17312,IVFP_C,0,187.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
17518,IVFP_C,0,207.8,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
17724,IVFP_C,0,234.8,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
17930,IVFP_C,0,216.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
18136,IVFP_C,0,151.8,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
18342,IVFP_C,0,44.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
18548,IVFP_C,0,2.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
19166,IVFP_C,0,0.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
19372,IVFP_C,0,42.8,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
19578,IVFP_C,0,162.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
19784,IVFP_C,0,188.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
19990,IVFP_C,0,206,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
20196,IVFP_C,0,200.8,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
20402,IVFP_C,0,199.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
20608,IVFP_C,0,147.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
20814,IVFP_C,0,42.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
21020,IVFP_C,0,3.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
21638,IVFP_C,0,0.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
21844,IVFP_C,0,36.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
22050,IVFP_C,0,147.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
22256,IVFP_C,0,198.8,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
22462,IVFP_C,0,215.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
22668,IVFP_C,0,229.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
22874,IVFP_C,0,217.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
23080,IVFP_C,0,142.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
23286,IVFP_C,0,30.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
23492,IVFP_C,0,0.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
24316,IVFP_C,0,37.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
24522,IVFP_C,0,143.6,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
24728,IVFP_C,0,210.6,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
24934,IVFP_C,0,208.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
25140,IVFP_C,0,238.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
25346,IVFP_C,0,207.6,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
25552,IVFP_C,0,127.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
25758,IVFP_C,0,19.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
25964,IVFP_C,0,0.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
56,IVFP_C,0,490.8,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
262,IVFP_C,0,499.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
468,IVFP_C,0,520.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
674,IVFP_C,0,528.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
880,IVFP_C,0,509.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
1086,IVFP_C,509.9,510.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
1292,IVFP_C,552.8,553.3,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
1498,IVFP_C,444.3,444.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
1704,IVFP_C,470,470.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
1910,IVFP_C,333.5,333.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
2116,IVFP_C,467.7,468.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
2322,IVFP_C,508.7,509.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
2528,IVFP_C,366.3,366.6,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
